한자,뜻,훈,음
慈,사랑 자,じ,いつくしむ
雌,암컷 자,し,めす、め
諮,물을 자,し,はかる
作,지을 작,さく、さ,つくる
昨,어제 작,さく,
酌,술 부을 작,しゃく,くむ
爵,벼슬 작,しゃく,
残,남을 잔,ざん,のこる、のこす
桟,사다리 잔,さん,
蚕,누에 잠,さん,かいこ
潜,잠길 잠,せん,ひそむ、もぐる
暫,잠깐 잠,ざん,
雑,섞일 잡,ざつ、ぞう,
長,긴 장,ちょう,ながい
場,마당 장,じょう,ば
章,글 장,しょう,
帳,장막 장,ちょう,
腸,창자 장,ちょう,
張,베풀 장,ちょう,はる
将,장수 장,しょう,
装,꾸밀 장,そう、しょう,よそおう
障,막을 장,しょう,さわる
蔵,감출 장,ぞう,くら
臓,오장 장,ぞう,
丈,어른 장,そう,たけ
匠,장인 장,しょう,
壮,장할 장,そう,
荘,씩씩할、 별장 장,そう,
掌,손바닥 장,しょう,
粧,단장할 장,しょう,
葬,장사지낼 장,そう,ほうむる
奨,장려할 장,しょう,
才,재주 재,さい,
材,재목 재,ざい,
再,두 재,さい、さ,ふたたび
在,있을 재,ざい,ある
災,재앙 재,さい,わざわい
財,재물 재,ざい、さい,
裁,마를 재,さい,たつ、さばく
宰,재상 재,さい,
栽,심을 재,さい,
斎,재계할、 집 재,さい,
載,실을 재,さい,のせる、のる
争,다툴 쟁,そう,あらそう
低,낮을 저,てい,ひくい、ひくめる、ひくまる
底,밑 저,てい,そこ
貯,쌓을 저,ちょ,
著,나타날 저,ちょ,あらわす、いちじるしい
狙,엿볼 저,そ,ねらう
抵,막을 저,てい,
邸,집 저,てい,
箸,젓가락 저,,はし
赤,붉을 적,せき、しゃく,あか、あかい、あからむ、あからめる
笛,피리 적,てき,ふえ
的,과녁 적,てき,まと
積,쌓을 적,せき,つむ、つもる
敵,맞을 적,てき,かなう
適,대적할 적,てき,かたき
績,길쌈할 적,せき,
寂,고요할 적,せき、じゃく,さび、さびしい、さびれる
賊,도둑 적,ぞく,
跡,발자취 적,せき,あと
滴,물방울 적,てき,しずく、したたる
嫡,정실 적,ちゃく,
摘,딸 적,てき,つむ
籍,문서 적,せき,
田,밭、 논 전,でん,た
前,앞 전,ぜん,まえ
電,번개 전,でん,
全,온전할 전,ぜん,まったく
転,구를 전,てん,ころがる、ころげる、ころがす、ころぶ
伝,전할 전,でん,つたえる、つたわる、つたう
典,법 전,てん,
戦,싸움 전,せん,いくさ、たたかう
銭,돈 전,せん,ぜに
専,오로지 전,せん,もっぱら
展,펼 전,てん,
栓,마개 전,せん,
殿,전각 전,でん、てん,との、どの
塡,메울 전、 누를 진,てん,
煎,달일 전,せん,いる
詮,설명할 전,せん,
箋,찌지 전,せん,
切,끊을 절、 모두 체,せつ、さい,きる、きれる
折,꺾을 절,せつ,おる、おれる
節,마디 절,せつ、せち,ふし
絶,끊을 절,ぜつ,たえる、たやす、たつ
窃,훔칠 절,せつ,
店,가게 점,てん,みせ
点,점 점,てん,
占,점령할、 점칠 점,せん,しめる、うらなう
粘,붙을 점,ねん,ねばる
漸,점점 점,ぜん,
接,이을 접,せつ,つぐ
正,바를 정,しょう、せい,ただしい、ただす、まさ
町,밭두둑 정,ちょう,まち
丁,고무래、 장정 정,ちょう、てい,
定,정할 정,てい、じょう,さだめる、さだまる、さだか
庭,뜰 정,てい,にわ
整,가지런할 정,せい,ととのう、ととのえる
停,머무를 정,てい,
静,고요할 정,せい、じょう,しずか、しずまる、しずめる
政,정사 정,せい、しょう,まつりごと
情,뜻 정,じょう、せい,なさけ
程,한도、 길 정,てい,ほど
精,정할 정,せい、しょう,
頂,정수리 정,ちょう,いただく、いたかき
井,우물 정,せい,い
丼,우물 정,とん,どんぶり
呈,드릴 정,てい,
廷,조정 정,てい,
征,칠 정,せい,
亭,정자 정,てい,
貞,곧을 정,てい,
訂,바로잡을 정,てい,
浄,깨끗할 정,じょう,
偵,염탐할 정,てい,
晶,맑을 정,しょう,
艇,배 정,てい,
錠,덩이 정,じょう,
弟,아우 제,てい、だい、で,おとうと
第,차례 제,だい,
祭,제사 제,さい,まつる、まつり
題,제목 제,だい,
制,절제할 제,せい,
提,끌 제,てい,さげる
製,지을 제,せい,
際,즈음 제,さい,きわ
除,덜 제,じょ、じ,のぞく
済,건널 제,さい,すむ、すます
諸,모두 제,しょ,
斉,가지런할 제,せい,
帝,임금 제,てい,
剤,약제 제,ざい,
堤,둑 제,てい,つつみ
早,이를 조,そう、さっ,はやい、はやまる、はやめる
鳥,새 조,ちょう,とり
組,짤 조,そ,くむ、くみ
朝,아침 조,ちょう,あさ
助,도울 조,じょ,たすける、たすかる、すけ
調,조사할 조,ちょう,しらべる、ととのう、ととのえる
兆,조 조,ちょう,きざす
照,비칠 조,しょう,てる、てらす、てれる
条,가지 조,じょう,
祖,할아버지 조,そ,
造,지을 조,ぞう,つくる
潮,밀물、조수 조,ちょう,しお
操,잡을 조,そう,みさお、あやつる
爪,손톱 조,,つめ、つま
弔,조상할 조,ちょう,とむらう
阻,막힐 조,そ,はばむ
租,조세 조,そ,
措,둘 조,そ,
曹,무리 조,そう,
粗,조잡할 조,そ,あらい
彫,새길 조,ちょう,ほる
眺,바라볼 조,ちょう,ながめる
釣,낚을、낚시 조,ちょう,つる
詔,조서 조,しょう,みことのり
遭,만날 조,そう,あう
嘲,비웃을 조,ちょう,あざける
槽,구유 조,そう,
燥,마를 조,そう,
繰,고치 켤 조,,くる
藻,마름 조,そう,も
足,발 족,そく,あし、たりる、たす
族,겨레 족,ぞく,
存,있을 존,そん、ぞん,
尊,높을 존,そん,たっとい、とうとい、たっとぶ、とうとぶ
卒,마칠 졸,そつ,
拙,옹졸할 졸,せつ,つたない
終,마칠 종,しゅう,おわる、おえる
種,씨 종,しゅ,たね
宗,마루 종,しゅう、そう,
従,좇을 종,じゅう、しょう、じゅ,したがう、したがえる
縦,세로 종,じゅう,たて
腫,종기 종,しゅ,はれる、はらす
踪,자취 종,そう,
鐘,쇠북 종,しょう,かね
左,왼 좌,さ,ひだり
席,자리 좌,ざ,すわる
佐,도울 좌,さ,
挫,꺾을 좌,ざ,
罪,허물 죄,ざい,つみ
走,달릴 주,そう,はしる
昼,낮 주,ちゅう,ひる
週,돌 주,しゅう,
主,주인 주,しゅ、す,ぬし、おも
州,고을 주,しゅう、す,
住,살 주,じゅう,すむ、すまう
注,부을 주,ちゅう,そそぐ
柱,기둥 주,ちゅう,はしら
酒,술 주,しゅ,さけ、さか
周,두루 주,しゅう,まわり
宙,집 주,ちゅう,
奏,연주할 주,そう,かなでる
株,주식 주,,かぶ
朱,붉을 주,しゅ,
船,배 주,しゅう,ふね、ふな
肘,팔꿈치 주,,ひじ
呪,빌 주,じゅ,
酎,진한 술 주,ちゅう,
珠,구슬 주,しゅ,
駐,머무를 주,ちゅう,
鋳,쇠불릴 주,ちゅう,いる
竹,대 죽,ちく,たけ
準,준비할 준,じゅん,
俊,준걸 준,しゅん,
准,승인할 준,じゅん,
遵,좇을 준,じゅん,
中,가운데 중,ちゅう、じゅう,なか
重,무거울 중,じゅう、ちょう,え、おもい、かさねる、かさなる
仲,버금 중,ちゅう,なか
衆,무리 중,しゅう、しゅ,
即,곧 즉,そく,
汁,즙 즙,じゅう,しる
証,증거 증,しょう,
増,더할 증,ぞう,ます、ふえる、ふやす
蒸,찔 증,じょう,むす、むれる、むらす
症,증세 증,しょう,
曽,일찍 증,そう,
憎,미울 증,ぞう,にくむ、にくい、にくらしい、にくしみ
贈,줄 증,ぞう、そう,おくる
止,그칠 지,し,とまる、とめる
地,땅 지,ち、じ,
池,못 지,ち,いけ
知,알 지,ち,しる
紙,종이 지,し,かみ
持,가질 지,じ,もつ
指,가리킬 지,し,ゆび、さす
支,지탱할 지,し,ささえる
志,뜻 지,し,こころざす、こころざし
枝,가지 지,し,えだ
至,이를 지,し,いたる
誌,기록할 지,し,
旨,뜻 지,し,むね、うまい
芝,잡초 지,,しば
肢,팔다리 지,し,
祉,복 지,し,
脂,기름 지,し,あぶら
遅,더딜、늦을 지,ち,おくれる、おくらす、おそい
漬,담글 지,,つける、つかる
摯,잡을 지,し,
直,곧을 직,ちょく、じき,ただちに、なおす、なおる
職,직분 직,しょく,
織,짤 직,しょく、しき,おる
真,참 진,しん,ま
進,나아갈 진,しん,すすむ、すすめる
尽,다할 진,じん,つくす、つきる、つかす
津,나루 진,しん,つ
珍,보배 진,ちん,めずらしい
陣,진칠 진,じん,
振,떨칠 진,しん,ふる、ふるう、ふれる
陳,베풀、묵을 진,ちん,
診,진찰할 진,しん,みる
震,우레 진,しん,ふるう、ふるえる
鎮,진압할 진,ちん,しずめる、しずまる
質,바탕 질,しつ、しち,
叱,꾸짖을 질,しつ,しかる
迭,경질할 질,てつ,
疾,병 질,しつ,
秩,차례 질,ちつ,
窒,막힐 질,ちつ,
嫉,미워할 질,しつ,ねたむ、ねたましい
朕,나 짐,ちん,
集,모을 집,しゅう,あつまる、あつめる、つどう
執,잡을 집,しつ、しゅう,とる
徴,부를 징,ちょう,
澄,맑을 징,ちょう,すむ、すます
懲,징계할 징,ちょう,こりる、こらす、こらしめる
車,수레 차、수레 거,しゃ,くるま
茶,차 차、차 다,ちゃ、さ,
次,버금 차,じ、し,つぎ、つぐ
差,다를 차,さ,さす
借,빌릴 차,しゃく,かりる
且,또 차,,かつ
遮,가릴 차,しゃ,さえぎる
着,붙을 착,ちゃく、じゅく,きる、きせる、つく、つける
捉,잡을 착,そく,とらえる
搾,짤 착,さく,しぼる
錯,어긋날 착,さく,
賛,도울 찬,さん,
札,편지 찰,さつ,ふだ
察,살필 찰,さつ,
刹,절 찰,さつ、せつ,
拶,핍박할 찰,さつ,
擦,문지를 찰,さつ,する、すれる
参,참여할 참、석 삼,さん,まいる
惨,참혹할 참,さん、ざん,みじめ、むごい
斬,벨 참,ざん,きる
倉,곳집 창,そう,くら
唱,부를 창,しょう,となえる
窓,창 창,そう,まど
創,비롯할 창,そう,
彰,드러날 창,しょう,
菜,나물 채,さい,な
採,캘 채,さい,とる
采,풍채 채,さい,
彩,채색 채,さい,いろどる
債,빚 채,さい,
責,꾸짖을 책,せき,せめる
冊,책 책,さつ、さく,
策,꾀 책,さく,
柵,울타리 책,さく,
妻,아내 처,さい,つま
処,곳 처,しょ,
凄,쓸쓸할 처,せい,すごい、すさまじい
尺,자 척,しゃく,
斥,물리칠 척,せき,しりぞける
拓,넓힐 척、박을 탁,たく,
隻,외짝 척,せき,
脊,등마루 척,せき,
捗,칠 척,ちょく,はかどる
戚,친척 척,せき,
千,일천 천,せん,ち
川,내 천,せん,かわ
天,하늘 천,てん,あめ、あま
浅,얕을 천,せん,あさい
泉,샘 천,せん,いずみ
践,밟을 천,せん,
遷,옮길 천,せん,
薦,천거할 천,せん,すすめる
鉄,쇠 철,てつ,
凸,볼록할 철,とつ,でこ
哲,밝을 철,てつ,
徹,통할 철,てつ,
撤,거둘 철,てつ,
添,더할 첨,てん,そえる、そう
畳,거듭 첩,じょう,たたむ、たたみ
貼,붙일 첩,ちょう、てん,はる
青,푸를 청,せい,あお、あおい
晴,갤 청,せい,はれる、はらす
清,맑을 청,せい、しょう,きよい、きよらか、きよまる、きよめる
庁,관청 청,ちょう,
請,청할 청,せい、しん,こう、うける
聴,들을 청,ちょう,きく
体,몸 체,たい、てい,からだ
逓,갈릴 체,てい,
逮,잡을 체,たい,
替,바꿀 체,たい,かえる、かわｒ
滞,막힐 체,たい,とどこおる
締,맺을 체,てい,しまる、しめる
諦,살필 체,てい、たい,あきらめる
草,풀 초,そう,くさ
秒,분초 초,びょう,
初,처음 초,しょ,はじめ、はじめて、はつ、うい、そめる
招,부를 초,しょう,まねく
抄,뽑을 초,しょう,
肖,닮을、같을 초,しょう,
酢,식초 초,さく,す
焦,탈 초,しょう,こげる、こがす、こがれる、あせる
硝,화약 초,しょう,
超,뛰어넘을 초,ちょう,こえる、こす
礁,암초 초,しょう,
礎,주춧돌 초,そ,いしずえ
促,재촉할 촉,そく,うながす
触,닿을 촉,しょく,ふれる、さわる
嘱,부탁할 촉,しょく,
村,마을 촌,そん,むら
寸,마디 촌,すん,
総,다 총,そう,
塚,무덤 총,,つか
銃,총 총,じゅう,
撮,사진 찍을 촬,さつ,とる
最,가장 최,さい,もっとも
催,재촉할 최,さい,もよおす
秋,가을 추,しゅう,あき
追,쫓을、따를 추,つい,おう
推,밀 추,すい,おす
抽,뽑을 추,ちゅう,
枢,지도리 추,すう,
椎,등골 추,つい,しい
墜,떨어질 추,つい,
醜,추할 추,しゅう,みにくい
祝,빌 축,しゅく、しゅう,いわう
築,쌓을 축,ちく,きずく
縮,줄일 축,しゅく,ちぢむ、ちぢまる、ちぢめる、ちぢれる、ちぢらす
逐,쫓을 축,ちく,
畜,짐승 축,ちく,
軸,굴대 축,じく,
蓄,모을 축,ちく,たくわえる
蹴,찰 축,しゅう,ける
春,봄 춘,しゅん,はる
出,날 출,しゅつ、すい,でる、だす
虫,벌레 충,ちゅう,むし
忠,충성 충,ちゅう,
充,채울 충,じゅう,あてる
沖,화할 충,ちゅう,おき
衷,속마음 충,ちゅう,
衝,찌를 충,しょう,
取,가질 취,しゅ,とる
就,나아갈 취,しゅう、じゅ,つく、つける
吹,불 취,すい,ふく
炊,불 땔 취,すい,たく
臭,냄새 취,しゅう,くさい、におう
酔,취할 취,すい,よう
趣,뜻 취,しゅ,おもむき
側,곁 측,そく,がわ
測,헤아릴 측,そく,はかる
層,층 층,そう,
歯,이 치,し,は
治,다스릴 치,じ、ち,おさめる、おさまる、なおる、なおす
置,둘 치,ち,おく
値,값 치,ち,ね、あたい
恥,부끄러울 치,ち,はじ、はじる、はじらう、はずかしい
致,이를 치,ち,いたす
痴,어리석을 치,ち,
稚,어릴 치,ち,
緻,빽빽할 치,ち,
則,법칙 칙,そく,
勅,칙서 칙,ちょく,
親,친할 친,しん,おや、したしい、したしむ
七,일곱 칠,しち,なな、ななつ、なの
漆,옻 칠,しつ,うるし
針,바늘 침,しん,はり
沈,잠길 침,ちん,しずむ、しずめる
枕,배게 침,ちん,まくら
侵,침노할 침,しん,おかす
浸,잠길 침,しん,ひたす、ひたる
寝,잘 침,しん,ねる、ねかす
称,일컬을 칭,しょう,
快,쾌할 쾌,かい,こころよい
打,칠 타,だ,うつ
他,다를 타,た,ほか
妥,온당할 타,だ,
唾,침 타,だ,つば
堕,떨어질 타,だ,
惰,게으를 타,だ,
卓,높을 탁,たく,
託,부탁할 탁,たく,
濁,흐릴 탁,だく,にごる、にごす
濯,씻을 탁,たく,
炭,숯 탄,たん,すみ
誕,낳을 탄,たん,
弾,탄알 탄,だん,ひく、はずむ、たま
嘆,탄식할 탄,たん,なげく、なげかわしい
綻,터질 탄,たん,ほころびる、ほころぶ
脱,벗을 탈,だつ,ぬぐ、ぬげる
奪,빼앗을 탈,だつ,うばう
探,찾을 탐,たん,さぐる、さがす
貪,탐할 탐,どん,むさぼる
塔,탑 탑,とう,
搭,탈 탑,とう,
湯,끓일 탕,とう,ゆ
太,클 태,たい、た,ふとい、ふとる
態,모습 태,たい,
汰,사치할 태,た,
怠,게으를 태,たい,おこたる、なまける
胎,아이 밸 태,たい,
泰,클 태,たい,
駄,짐 실을 태,だ,
宅,집 택,たく,
択,가릴 택,たく,
沢,못 택,たく,さわ
土,흙 토,ど、と,つち
討,칠 토,とう,うつ
吐,토할 토,と,はく
通,통할 통,つう、つ,とおる、とおす、かよう
統,거느릴 통,とう,すべる
痛,아플 통,つう,いたい、いたむ、いためる
筒,통 통,とう,つつ
退,물러날 퇴,たい,しりぞく、しりぞける
堆,언덕、쌓을 퇴,たい,うずたかい
投,던질 투,とう,なげる
妬,샘낼 투,と,ねたむ、ねたましい
透,사무칠 투,とう,すく、すかす、すける
闘,싸울 투,とう,たたかう
特,특별할 특,とく,
波,물결 파,は,なみ
破,깨뜨릴 파,は,やぶる、やぶれる
派,갈래 파,は,
把,잡을 파,は,
婆,할머니 파,ば,
罷,마칠 파,ひ,
坂,언덕 판,はん,さか
板,널빤지 판,はん、ばん,いた
判,판단할 판,はん、ばん,
版,판목 판,はん,
阪,언덕 판,はん,さか
販,팔 판,はん,
八,여덟 팔,はち,や、やつ、やっつ、よう
貝,조개 패,,かい
敗,패할 패,はい,やぶれる
唄,염불 소리 패,,うた
覇,으뜸 패,は,
膨,부풀 팽,ぼう,ふくらむ、ふくれる
便,편할 편、오줌 변,べん、びん,たより
編,엮을 편,へん,あむ
片,조각 편,へん,かた
偏,치우칠 편,へん,かたよる
遍,두루 편,へん,
平,평평할 평,へい、びょう,たいら、ひら
評,평할 평,ひょう,
坪,들 평,,つぼ
肺,허파 폐,はい,
陛,대궐 섬돌 폐,へい,
閉,닫을 폐,へい,しまる、しめる、とじる、とざす
廃,버릴 폐,はい,すたれる、すたる
幣,화폐 폐,へい,
弊,폐단 폐,へい,
蔽,덮을 폐,へい,
包,쌀 포,ほう,つつむ
布,베 포,ぶ,ぬの
怖,두려워할 포,ぶ,こわい
抱,안을 포,ほう,だく、いだく、かかえる
泡,거품 포,ほう,あわ
胞,세포 포,ほう,
捕,잡을 포,ほ,とらえる、とらわれる、とる、つかまえる、つかまる
砲,대포 포,ほう,
浦,개 포,ほ,うら
哺,먹일 포,ほ,
飽,배부를 포,ほう,あきる、あかす
舗,펼、가게 포,ほ,
褒,기릴 포,ほう,ほめる
暴,사나울 폭,ぼう、ばく,あばく、あばれる
幅,폭 폭,ふく,はば
爆,불터질 폭,ばく,
表,겉 표,ひょう,おもて、あらわす、あらわれる
票,표 표,ひょう,
標,표할 표,ひょう,
俵,나누어 줄 표,ひょう,たわら
漂,떠다닐 표,ひょう,ただよう
品,물건 품,ひん,しな
風,바람 풍,ふう、ふ,かぜ、かざ
豊,풍년 풍,ほう,ゆたか
皮,가죽 피,ひ,かわ
彼,저 피,ひ,かれ、かの
披,헤칠 피,ひ,
疲,피곤할 피,ひ,つかれる
被,입을 피,ひ,こうむる
避,피할 피,ひ,さける
筆,붓 필,ひつ,ふで
必,반드시 필,ひつ,かならず
匹,짝 필,ひつ,ひき
乏,모자랄 핍,ぼう,とぼしい
下,아래 하,か、げ,した、しも、もと、さげる、さがる、おりる、おろす、くだる
何,어찌 하,か,なに、なん
夏,여름 하,か、げ,なつ
荷,멜 하,か,に
河,물 하,か,かわ
賀,하례할 하,が,
学,배울 학,がく,まなぶ
虐,모질 학,ぎゃく,しいたげる
鶴,학 학,かく,つる
寒,찰 한,かん,さむい
漢,한나라 한,かん,
限,제한할 한,げん,かぎる
汗,땀 한,かん,あせ
恨,한 한,こん,うらむ、うらめしい
閑,한가할 한,かん,
韓,나라 한,かん,
割,벨 할,かつ,わる、わり、われる、さく
轄,다스릴 할,かつ,
含,머금을 함,がん,ふくむ、ふくめる
陥,빠질 함,かん,おちいる、おとしいれる
艦,큰 배 함,かん,
合,합할 합,ごう、がっ、かっ,あう、あわす、あわせる
港,항구 항,こう,みなと
航,배 항,こう,
抗,겨룰 항,こう,
恒,항상 항,こう,
項,항목 항,こう,
海,바다 해,かい,うみ
害,해할 해,がい,
解,풀 해,かい、げ,とく、とける、とかす
該,각출、마땅 해,がい,
楷,본보기 해,かい,
諧,화할 해,かい,
骸,뼈 해,がい,
劾,꾸짖을 핵,がい,
核,씨 핵,かく,
行,갈 행,こう、ぎょう、あん,いく、ゆく、おこなう
幸,다행 행,こう,さいわい、さち、しあわせ
向,향할 향,こう,むく、むかう、むける、むこう
郷,시골 향,きょう、ごう,
享,누릴 향,きょう,
香,향기 향,こう,か、かおり、かおる
響,울릴 향,きょう,ひびく
許,허락할 허,きょ,ゆるす
虚,빌 허,きょ、こ,むなしい
憲,법 헌,けん,
軒,집 헌,けん,のき
献,드릴 헌,けん、こん,
験,시험 험,けん、げん,
険,험할 험,けん,けわしい
革,가죽 혁,かく,かわ
嚇,성낼 혁,かく,
県,고을 현,けん,
現,나타날 현,げん,あらわれる、あらわす
玄,검을 현,げん,
弦,시위 현,げん,つる
舷,뱃전 현,げん,
賢,어질 현,けん,かしこい
顕,나타날 현,けん,
懸,달 현,けん、け,かける、かかる
血,피 혈,けつ,ち
穴,구멍 혈,けつ,あな
嫌,싫어할 혐,けん、げん,きらう、いや
協,화합할 협,きょう,
峡,골짜기 협,きょう,
挟,낄 협,きょう,はさむ、はさまる
狭,좁을 협,きょう,せまい、せばめる、せばまる
脅,위협할 협,きょう,おびやかす、おどす、おどかす
脇,옆구리 협,,わき
頬,뺨 협,,ほお
兄,맏 형,きょう、けい,あに、にい
形,모양 형,けい、ぎょう,かた、かたち
型,모형 형,けい,かた
刑,형벌 형,けい,
桁,도리 형,こう,けた
蛍,반딧불 형,けい,ほたる
衡,저울대 형,こう,
恵,은혜 혜,けい、え,めぐむ
戸,집 호,こ,と
号,이름 호,ごう,
湖,호수 호,こ,みずうみ
好,좋을 호,こう,すく、このむ
護,도울 호,ご,
呼,부를 호,こ,よぶ
互,서로 호,ご,たがい
虎,범 호,こ,とら
弧,활 호,こ,
豪,호걸 호,ごう,
惑,미혹할 혹,わく,まどう
酷,심할 혹,こく,
混,섞을 혼,こん,まざる、まぜる、こむ
婚,혼인할 혼,こん,
魂,넋 혼,こん,たましい
紅,붉을 홍,こう、く,べに、くれない
洪,넓을 홍,こう,
虹,무지개 홍,にじ,
火,불 화,か,ひ、ほ
花,꽃 화,か,はな
画,그림 화、그을 획,が、かく,
話,말씀 화,わ,はなす、はなし
化,될 화,か、け,ばける、ばかす
和,화할 화,わ、お,なごむ、なごやか、やわらぐ、やわらげる
貨,재물 화,か,
華,빛날 화,か、け,はなやか、はなばなしい
禍,재앙 화,か,
靴,신발 화,か,くつ
確,굳을 확,かく,たしか、たしかめる
拡,넓힐 확,かく,
穫,거둘 확,かく,
丸,둥글 환,がん,まる、まるい、まるめる
幻,헛보일 환,けん,まぼろし
患,근심 환,かん,わずらう
喚,부를 환,かん,
換,바꿀 환,かん,かえる、かわる
歓,기쁠 환,かん,
還,돌아올 환,かん,
環,고리 환,かん,
活,살 활,かつ,いかす
滑,미끄러울 활,かつ、こつ,すべる、なめらか
黄,누를 황,おう、こう,き、こ
皇,임금 황,こう、おう,
況,상황 황,きょう,
荒,거칠 황,こう,あらい、あれる、あらす
慌,어리둥절할 황,こう,あわてる、あわただしい
会,모일 회,かい、え,あう
回,돌 회,かい、え,まわる、まわす
絵,그림 회,え、かい,
灰,재 회,かい,はい
悔,뉘우칠 회,かい,くいる、くやむ、くやしい
栃,상수리나무 회,,とち
賄,뇌물 회,わい,まかなう
懐,품을 회,かい,なつかしい、なつかしむ、なつく、なつける、ふところ
獲,얻을 획,かく,える
横,가로 횡,おう,よこ
効,효과 효,こう,きく
孝,효도 효,こう,
暁,새벽 효,ぎょう,あかつき
酵,삭힐 효,こう,
後,뒤 후,ご、こう,のち、うしろ、あと、おくれる
候,기후 후,こう,そうろう
厚,두터울 후,こう,あつい
后,임금、왕후 후,こう,きさき
朽,썩을 후,きゅう,くちる
侯,제후 후,こう,
喉,목구멍 후,こう,のど
嗅,맡을 후,きゅう,かぐ
訓,가르칠 훈,くん,
勲,공 훈,くん,いさお
薫,향 풀 훈,くん,かおる
毀,헐 훼,き,こわす、こぼれる、こぼつ
揮,휘두를 휘,き,
彙,무리 휘,い,
輝,빛날 휘,き,かがやく
休,쉴 휴,きゅう,やすむ、やすまる、やすめる
携,이끌 휴,けい,たずさえる、たずさわる
胸,가슴 흉,きょう,むね、むな
凶,흉할 흉,きょう,
黒,검을 흑,こく,くろ、くろい
痕,흔적 흔,こん,あと
吸,마실 흡,きゅう,すう
興,일어날 흥,こう、きょう,おこる、おこす
希,바랄 희,き,
喜,기쁠 희,き,よろこぶ
姫,계집 희,,ひめ
戯,놀이 희,ぎ,たわむれる
犠,희생할 희,ぎ,
詰,꾸짖을 힐,きつ,つめる、つまる、つむ
込,(일본한자)담다,,こむ、こめる
畑,(일본한자)밭,,はた、はたけ
枠,(일본한자)테두리,,わく
峠,(일본한자)고개,,とうげ